Status,Featured,Event Name,Date / Timing,Town,Category,Short Copy,Source / Host,Main Link,Week Bucket,Priority Score,Card Type,Notes,Section,Sort Order,Badge,CTA Text,Active From,Active Until
Live,Yes,Macbeth,2026-04-05 14:00 & 19:00,Cumbernauld,Theatre,Macbeth at Lanternhouse on Sunday 5 April.,Lanternhouse / Cumbernauld Theatre Trust,https://lanternhousearts.org/events/macbeth/,This Week,High,featured,Strong lead item for weekly roundup.,Featured Now,10,Top Pick,View details,2026-04-03,2026-04-06
Live,Yes,Findlay Napier,2026-04-09 19:00,Cumbernauld,Music / Folk,Findlay Napier live at Lanternhouse on Thursday 9 April.,Lanternhouse / Cumbernauld Folk Club,https://lanternhousearts.org/events/cumbernauld-folk-club-presents-findlay-napier-2/,This Week,High,featured,Good music-led weekly pick.,Featured Now,20,Featured,View details,2026-04-03,2026-04-10
Live,No,Easter Alive Family Event,2026-04-04 10:00-12:30,Bishopbriggs,Family / Faith,Free Easter Alive family event at Woodhill.,Woodhill Evangelical Church,https://www.woodhill.org.uk/whats-on,This Week,Medium,family,Good community/family inclusion.,Featured Now,30,Family Pick,View details,2026-04-03,2026-04-05
Live,Yes,Paris Bubbles presents: The Ultimate Bubble Show,2026-04-19 11:00 / 13:00 / 15:00,Kirkintilloch,Family / Theatre,Bubble Show at Kirkintilloch Town Hall on 19 April.,Kirkintilloch Town Hall / EDLC,https://www.edlc.co.uk/whats-on/paris-bubbles-presents-the-ultimate-bubble-show/,This Month,High,family,Keep ready for later April post.,Featured Now,40,Family Pick,View details,2026-04-03,2026-04-19
Live,No,Women’s Wellness,"1st Tuesday monthly, 18:00-19:00",Milngavie,Wellbeing,Women’s Wellness monthly session at Milngavie Library.,Milngavie Library / EDLC,https://www.edlc.co.uk/whats-on/womens-wellness/,Recurring,Medium,wellbeing,Useful recurring wellbeing lane.,Featured Now,50,Wellbeing,View details,2026-04-03,
Live,No,Library Quiz Nights,Monthly sessions,Bishopbriggs / Lennoxtown / Milngavie,Community / Quiz,Monthly library quiz nights across East Dunbartonshire.,EDLC Libraries,https://www.edlc.co.uk/whats-on/library-quiz-nights/,Recurring,Medium,community,Recurring community social item.,Featured Now,60,Community,View details,2026-04-03,
Live,No,Utterly Revolting Science Show,2026-04-18 11:30 & 15:00,Cumbernauld,Family / Theatre,Utterly Revolting Science Show at Lanternhouse on 18 April.,Lanternhouse / Cumbernauld Theatre Trust,https://lanternhousearts.org/events/the-utterly-revolting-science-show/,This Month,High,family,Strong later-April family pick.,Featured Now,70,Family Pick,View details,2026-04-03,2026-04-18
Live,No,Openings,Ongoing,East Dunbartonshire / Nearby,Opportunity,"Open mics, auditions, calls for acts, and guest spot opportunities to watch.",KCH Radar,,Ongoing,Medium,opportunity,Seed row for Hidden Opportunities live section.,Hidden Opportunities,10,Open,Explore,2026-04-03,
Live,No,Collaborators,Ongoing,East Dunbartonshire / Nearby,Opportunity,"Comedians, theatre makers, musicians, and community partners worth connecting with.",KCH Radar,,Ongoing,Medium,opportunity,Seed row for Hidden Opportunities live section.,Hidden Opportunities,20,Connect,Explore,2026-04-03,
Live,No,Media,Ongoing,East Dunbartonshire / Nearby,Opportunity,"Local radio, community pages, newsletters, and PR angles to monitor.",KCH Radar,,Ongoing,Medium,opportunity,Seed row for Hidden Opportunities live section.,Hidden Opportunities,30,PR Angle,Explore,2026-04-03,
Live,No,Community Growth,Ongoing,East Dunbartonshire / Nearby,Opportunity,"Church groups, recovery spaces, volunteering routes, and supportive local ecosystems.",KCH Radar,,Ongoing,Medium,opportunity,Seed row for Hidden Opportunities live section.,Hidden Opportunities,40,Community,Explore,2026-04-03,
Live,No,New Routes,Ongoing,Scotland / Nearby,Opportunity,"Retreat leaders, organisers, venue leads, and partnership routes worth exploring.",KCH Radar,,Ongoing,Medium,opportunity,Seed row for Hidden Opportunities live section.,Hidden Opportunities,50,Route,Explore,2026-04-03,
Live,No,Posters & Boards,Ongoing,East Dunbartonshire / Nearby,Signal Source,"Church boards, library posters, pub gig flyers, roadside banners, and hall signs.",KCH Radar,,Ongoing,Medium,signal,Seed row for Local Signals live section.,Local Signals Feed,10,Scout,Spot more,2026-04-03,
Live,No,Café & Venue Windows,Ongoing,East Dunbartonshire / Nearby,Signal Source,"Flyers in café windows, venue doors, comedy notices, and music/theatre lead signals.",KCH Radar,,Ongoing,Medium,signal,Seed row for Local Signals live section.,Local Signals Feed,20,Scout,Spot more,2026-04-03,
Live,No,Travel Finds,Ongoing,East Dunbartonshire / Nearby,Signal Source,"Things spotted while working, driving, travelling, or passing through nearby towns.",KCH Radar,,Ongoing,Medium,signal,Seed row for Local Signals live section.,Local Signals Feed,30,Scout,Spot more,2026-04-03,